"","NUME","CMR","Data","Temp"
"1","Zimnicea","Muntenia","X1961.01.01",11.9073972702026
"2","Turnu Magurele","Muntenia","X1961.01.01",11.5601367950439
"3","Bechet","Oltenia","X1961.01.01",11.9753150939941
"4","Mangalia","Dobrogea","X1961.01.01",11.9767122268677
"5","Giurgiu","Muntenia","X1961.01.01",11.7582740783691
"6","Calafat","Oltenia","X1961.01.01",12.2356433868408
"7","Alexandria","Muntenia","X1961.01.01",11.7302742004395
"8","Bailesti","Oltenia","X1961.01.01",12.1338901519775
"9","Caracal","Oltenia","X1961.01.01",11.7024383544922
"10","Rosiori de Vede","Muntenia","X1961.01.01",11.6007671356201
"11","Calarasi","Dobrogea","X1961.01.01",11.5153694152832
"12","Constanta","Dobrogea","X1961.01.01",11.9675617218018
"13","Craiova","Oltenia","X1961.01.01",11.4646577835083
"14","Medgidia","Dobrogea","X1961.01.01",11.6282196044922
"15","Videle","Muntenia","X1961.01.01",11.1046571731567
"16","Slatina","Oltenia","X1961.01.01",11.4406023025513
"17","Baneasa","Muntenia","X1961.01.01",11.2209587097168
"18","Slobozia","Dobrogea","X1961.01.01",11.238109588623
"19","Stolnici","Muntenia","X1961.01.01",10.893726348877
"20","Drobeta Turnu-Severin","Oltenia","X1961.01.01",11.9769859313965
"21","Titu","Muntenia","X1961.01.01",10.7086849212646
"22","Urziceni","Muntenia","X1961.01.01",11.0942192077637
"23","Moldova Veche","Banat-Crisana","X1961.01.01",11.9575338363647
"24","Dragasani","Oltenia","X1961.01.01",10.9109859466553
"25","Grivita","Dobrogea","X1961.01.01",11.1512603759766
"26","Jurilovca","Dobrogea","X1961.01.01",11.7848491668701
"27","Pitesti","Muntenia","X1961.01.01",10.4466304779053
"28","Tg. Logresti","Oltenia","X1961.01.01",10.7267122268677
"29","Sf. Gheorghe","Dobrogea","X1961.01.01",11.9666023254395
"30","Targoviste","Muntenia","X1961.01.01",10.2086849212646
"31","Ploiesti","Muntenia","X1961.01.01",10.7058906555176
"32","Moraresti","Muntenia","X1961.01.01",9.98495864868164
"33","Apa Neagra","Oltenia","X1961.01.01",11.1466579437256
"34","Oravita","Banat-Crisana","X1961.01.01",11.2172050476074
"35","Tg. Jiu","Oltenia","X1961.01.01",11.0417537689209
"36","Ramnicu Valcea","Oltenia","X1961.01.01",10.2166576385498
"37","Semenic","Banat-Crisana","X1961.01.01",6.8404655456543
"38","Curtea de Arges","Muntenia","X1961.01.01",9.50479412078857
"39","Buzau","Muntenia","X1961.01.01",11.0390958786011
"40","Sulina","Dobrogea","X1961.01.01",11.9284105300903
"41","Tulcea","Dobrogea","X1961.01.01",11.4551229476929
"42","Gorgova","Dobrogea","X1961.01.01",11.6208763122559
"43","Braila","Dobrogea","X1961.01.01",11.1753702163696
"44","Tarcu","Banat-Crisana","X1961.01.01",5.49386310577393
"45","Campulung Muscel","Muntenia","X1961.01.01",8.71997261047363
"46","Resita","Banat-Crisana","X1961.01.01",11.113507270813
"47","Patarlagele","Muntenia","X1961.01.01",9.35641098022461
"48","Banloc","Banat-Crisana","X1961.01.01",11.7218627929688
"49","Parang","Oltenia","X1961.01.01",6.78391790390015
"50","Sinaia 1500","Muntenia","X1961.01.01",5.02246570587158
"51","Ramnicu Sarat","Muntenia","X1961.01.01",10.6271228790283
"52","Caransebes","Banat-Crisana","X1961.01.01",11.0093975067139
"53","Petrosani","Oltenia","X1961.01.01",7.43443822860718
"54","Vf. Omu","Muntenia","X1961.01.01",5.02246570587158
"55","Fundata","Muntenia","X1961.01.01",4.3490686416626
"56","Predeal","Muntenia","X1961.01.01",4.74065732955933
"57","Galati","Moldova","X1961.01.01",10.9927673339844
"58","Lugoj","Banat-Crisana","X1961.01.01",11.10378074646
"59","Intorsura Buzaului","Muntenia","X1961.01.01",6.03619194030762
"60","Focsani","Moldova","X1961.01.01",10.9359998703003
"61","Brasov","TransilvaniaS","X1961.01.01",7.83372592926025
"62","Timisoara","Banat-Crisana","X1961.01.01",11.2934246063232
"63","Sibiu","TransilvaniaS","X1961.01.01",9.04753398895264
"64","Fagaras","TransilvaniaS","X1961.01.01",8.65394496917725
"65","Lacauti","TransilvaniaS","X1961.01.01",2.74690413475037
"66","Tecuci","Moldova","X1961.01.01",10.8429584503174
"67","Sf. Gheorghe","TransilvaniaS","X1961.01.01",7.18397283554077
"68","Deva","Banat-Crisana","X1961.01.01",10.0251779556274
"69","Sebes","TransilvaniaS","X1961.01.01",10.0195341110229
"70","Tg. Seciuesc","TransilvaniaS","X1961.01.01",7.1376166343689
"71","Sannicolau Mare","Banat-Crisana","X1961.01.01",11.4473695755005
"72","Alba Iulia","TransilvaniaS","X1961.01.01",10.1338357925415
"73","Baraolt","TransilvaniaS","X1961.01.01",7.09479475021362
"74","Adjud","Moldova","X1961.01.01",10.3491230010986
"75","Arad","Banat-Crisana","X1961.01.01",11.0426025390625
"76","Dumbraveni","TransilvaniaS","X1961.01.01",8.81567096710205
"77","Barlad","Moldova","X1961.01.01",10.4252605438232
"78","Tg. Ocna","Moldova","X1961.01.01",9.04191780090332
"79","Miercurea Ciuc","TransilvaniaS","X1961.01.01",6.12073993682861
"80","Chisineu Cris","Banat-Crisana","X1961.01.01",11.1824655532837
"81","Tg. Mures","TransilvaniaS","X1961.01.01",9.0408763885498
"82","Baisoara","TransilvaniaN","X1961.01.01",4.6118631362915
"83","Bacau","Moldova","X1961.01.01",9.69690418243408
"84","Bucin","TransilvaniaS","X1961.01.01",4.89819192886353
"85","Vaslui","Moldova","X1961.01.01",9.44079494476318
"86","Stana de Vale","Banat-Crisana","X1961.01.01",5.0567946434021
"87","Joseni","TransilvaniaS","X1961.01.01",5.71712350845337
"88","Sarmasu","TransilvaniaS","X1961.01.01",8.60180854797363
"89","Holod","Banat-Crisana","X1961.01.01",10.7148494720459
"90","Vladeasa 1800","TransilvaniaN","X1961.01.01",4.84210968017578
"91","Cluj-Napoca","TransilvaniaN","X1961.01.01",9.53942489624023
"92","Negresti","Moldova","X1961.01.01",9.47421932220459
"93","Roman","Moldova","X1961.01.01",9.49167156219482
"94","Ceahlau Toaca","Moldova","X1961.01.01",7.21194505691528
"95","Piatra Neamt","Moldova","X1961.01.01",9.05967140197754
"96","Borod","Banat-Crisana","X1961.01.01",9.43161678314209
"97","Oradea","Banat-Crisana","X1961.01.01",10.7834520339966
"98","Bistrita","TransilvaniaN","X1961.01.01",7.7667670249939
"99","Dej","TransilvaniaN","X1961.01.01",9.59274005889893
"100","Iasi","Moldova","X1961.01.01",10.0027122497559
"101","Zalau","TransilvaniaN","X1961.01.01",9.55065727233887
